url,title,img_url,year,rating,ratings_num,5_star,4_star,3_star,2_star,1_star,imdb_id
https://movie.douban.com/subject/26876595/,那年夏天你去了哪里,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2402705389.jpg,2016,4.7,11382,3.00%,7.10%,32.00%,37.90%,0.2,tt6464252
https://movie.douban.com/subject/25884877/,爸爸的3次婚礼,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2403430820.jpg,2016,3,723,0.60%,2.20%,10.00%,22.20%,0.65,
https://movie.douban.com/subject/26696879/,你好，疯子！,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2408394301.jpg,2016,6.8,34590,9.90%,34.90%,41.80%,11.10%,0.024,tt6605830
https://movie.douban.com/subject/24752662/,北极大冒险 Midnight Sun,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2408202567.jpg,2014,6.6,902,10.60%,24.20%,53.60%,9.70%,0.018,tt2390283
https://movie.douban.com/subject/26108086/,冰雪女皇之冬日魔咒 Снежная королева 2: Перезаморозка,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2381915097.jpg,2014,4.8,741,0.00%,9.20%,39.70%,34.00%,0.17,tt3477554
https://movie.douban.com/subject/26757794/,人鱼校花,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2362854884.jpg,2016,2.9,290,3.00%,1.50%,7.60%,12.10%,0.758,
https://movie.douban.com/subject/26737544/,阿里巴巴2所罗门封印,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2336812802.jpg,2016,2.6,300,2.60%,0.50%,3.60%,12.80%,0.805,
https://movie.douban.com/subject/26752895/,青蛙总动员,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2342321189.jpg,2016,3.5,510,6.60%,3.00%,9.30%,18.90%,0.623,
https://movie.douban.com/subject/25820460/,美国队长3 Captain America: Civil War,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2332503406.jpg,2016,7.7,202539,23.70%,43.00%,28.10%,4.00%,0.012,tt3498820
https://movie.douban.com/subject/10831445/,百鸟朝凤,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2332714135.jpg,2013,8,100977,30.40%,42.70%,22.60%,3.30%,0.011,tt3214392
https://movie.douban.com/subject/26608232/,妄想症,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2337457648.jpg,2016,4.2,616,4.30%,5.00%,16.50%,42.90%,0.312,
https://movie.douban.com/subject/25848260/,布基兰,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2332861413.jpg,2016,5.9,137,10.20%,15.90%,42.00%,21.60%,0.102,tt5045634
https://movie.douban.com/subject/25859593/,判我有罪,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2345473794.jpg,2015,5.3,2851,7.90%,10.80%,35.70%,29.90%,0.156,tt5819500
https://movie.douban.com/subject/26767718/,男神抱抱,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2333509077.jpg,2016,4.5,191,1.00%,23.70%,17.50%,15.50%,0.423,
https://movie.douban.com/subject/24325815/,幻体：续命游戏 Self/less,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2350187311.jpg,2015,6.3,22379,5.90%,23.90%,54.00%,13.80%,0.023,tt2140379
https://movie.douban.com/subject/25944714/,超脑48小时 Criminal,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2351313845.jpg,2016,6.4,30393,6.30%,25.10%,53.60%,12.80%,0.021,tt3014866
https://movie.douban.com/subject/26282530/,再见，在也不见 再見，在也不見,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2346580342.jpg,2015,5.9,15139,5.10%,18.20%,48.60%,22.50%,0.055,tt4907174
https://movie.douban.com/subject/26614128/,笔仙诡影,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2346235807.jpg,2016,2.8,817,1.70%,1.50%,5.20%,16.90%,0.747,
https://movie.douban.com/subject/26693297/,别开门,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2326228232.jpg,2015,2.5,324,1.50%,0.50%,2.50%,13.80%,0.818,
https://movie.douban.com/subject/26772866/,购物女王,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2346690702.jpg,2012,3.1,649,0.70%,1.50%,9.90%,26.90%,0.61,tt6449612
https://movie.douban.com/subject/6873736/,愤怒的小鸟 Angry Birds,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2352310242.jpg,2016,7,65971,12.80%,36.60%,42.10%,7.10%,0.014,tt1985949
